                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                0.60069,                0.41592,                0.88388,                0.87246,                0.76562,                0.81782,                 0.4464,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    158,                0.64079,                0.42451,                0.87282,                0.85967,                0.79688,                0.82976,                0.46301,                      0,                    inf,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                0.64761,                0.41558,                0.87722,                0.84865,                 0.8125,                0.83659,                0.45951,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                    160,                0.61472,                0.41945,                0.88652,                0.85447,                0.82568,                0.83961,                0.45979,                      0,                    inf,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                0.63134,                 0.4199,                0.89339,                0.83203,                0.89062,                0.86453,                0.47453,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    162,                0.59521,                0.40238,                0.87998,                0.83339,                0.89062,                0.86959,                0.47426,                      0,                    inf,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                0.59718,                0.42157,                0.86487,                0.85104,                0.90625,                0.89711,                0.48082,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                    164,                0.60203,                0.39314,                0.87113,                 0.8744,                0.87028,                0.89707,                0.47679,                      0,                    inf,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 0.5524,                    inf,                0.81635,                 0.8744,                0.87028,                0.89707,                0.47679,                      0,                    nan,                      0,               0.001882,               0.001882,               0.001882
                    166,                    nan,                    nan,                    nan,                 0.8744,                0.87028,                0.89707,                0.47679,                      0,                    nan,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                    nan,                    nan,                    nan,                 0.8744,                0.87028,                0.89707,                0.47679,                      0,                    nan,                      0,               0.001783,               0.001783,               0.001783
                    168,                    nan,                    nan,                    nan,                 0.8744,                0.87028,                0.89707,                0.47679,                      0,                    nan,                      0,              0.0017335,              0.0017335,              0.0017335
